month,n,mean,share_pos,share_neg
2022-08-01,553,-0.1259133369707339,0.23508137432188064,0.38698010849909587
2022-09-01,256,-0.08498005106957862,0.26171875,0.37890625
2022-10-01,210,-0.1133487913713214,0.24761904761904763,0.3761904761904762
2022-11-01,216,-0.0032697552427028618,0.36574074074074076,0.32407407407407407
2022-12-01,123,-0.25159456895104026,0.18699186991869918,0.4715447154471545
2023-01-01,639,-0.3339260729883851,0.14084507042253522,0.5586854460093896
2023-02-01,280,-0.24681962626720114,0.17857142857142858,0.4785714285714286
2023-03-01,261,-0.1962084085412923,0.18773946360153257,0.44061302681992337
2023-04-01,270,-0.10483356698036746,0.26296296296296295,0.40370370370370373
2023-05-01,838,-0.23971083832277887,0.19451073985680192,0.47613365155131265
2023-06-01,2943,-0.3923078236022013,0.13217804960924226,0.617737003058104
2023-07-01,645,-0.3235266674844216,0.14263565891472868,0.5689922480620155
2023-08-01,475,-0.37426685132282345,0.13473684210526315,0.6
2023-09-01,474,-0.3024089651983939,0.1518987341772152,0.5337552742616034
2023-10-01,209,-0.26998465297895186,0.18181818181818182,0.5311004784688995
2023-11-01,372,-0.3965677449164251,0.11827956989247312,0.6317204301075269
2023-12-01,510,-0.3631119961412076,0.13725490196078433,0.5980392156862745
2024-01-01,304,-0.2785974552573048,0.19078947368421054,0.5328947368421053
2024-02-01,395,-0.3155611759334614,0.16455696202531644,0.5569620253164557
2024-03-01,304,-0.1333142156822999,0.26973684210526316,0.45394736842105265
2024-04-01,607,-0.36685345661742047,0.12520593080724876,0.5782537067545305
2024-05-01,712,-0.36412724535101293,0.15308988764044945,0.5870786516853933
2024-06-01,266,-0.29213369551948026,0.13533834586466165,0.4849624060150376
2024-07-01,356,-0.2580227977543902,0.17134831460674158,0.5224719101123596
2024-08-01,478,-0.2317001154085146,0.22384937238493724,0.46443514644351463
2024-09-01,815,-0.3136138637281634,0.18282208588957055,0.5803680981595092
2024-10-01,414,-0.3365423385782734,0.1497584541062802,0.5579710144927537
2024-11-01,333,-0.24452634941920773,0.21021021021021022,0.4804804804804805
2024-12-01,632,-0.28159848170331386,0.2088607594936709,0.5664556962025317
2025-01-01,718,-0.31589600640092264,0.15877437325905291,0.5306406685236769
2025-02-01,587,-0.3847978042495743,0.13969335604770017,0.606473594548552
2025-03-01,618,-0.38262400466460483,0.1343042071197411,0.6132686084142395
2025-04-01,269,-0.28180782359827405,0.20817843866171004,0.550185873605948
2025-05-01,756,-0.3745098188063672,0.12566137566137567,0.6031746031746031
2025-06-01,433,-0.33583202712263643,0.15935334872979215,0.5773672055427251
